city,attraction_name,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price,popularity_tags,crowd_risk,queue_risk,peak_crowd_windows
Guangzhou,Chimelong Safari Park,,Amusement Park/Sports & Entertainment,,23.007944,113.321711,,09:30,18:00,,2.5,4.0,300.0,classic_hotspot;family_hotspot;photo_spot,high,high,weekend;holiday;summer;school_holiday
Guangzhou,Guangzhou Chimelong Resort,,Amusement Park/Sports & Entertainment,,23.006399,113.330527,,00:00,24:00,,2.5,4.0,0.0,classic_hotspot;family_hotspot;photo_spot,high,high,weekend;holiday;summer;school_holiday
Guangzhou,Canton Tower,,Cultural Landscape,,23.112223,113.331084,,09:30,22:30,,0.5,1.5,149.0,classic_hotspot;photo_spot;night_hotspot;viral,high,high,weekend;holiday;evening;school_holiday
Guangzhou,Chimelong International Circus,,Amusement Park/Sports & Entertainment,,23.009036,113.337965,,15:00,21:00,,1.0,2.0,350.0,night_hotspot;family_hotspot;classic_hotspot,high,high,weekend;holiday;evening;school_holiday
Guangzhou,Chimelong Paradise,,Amusement Park/Sports & Entertainment,,23.00481,113.33685,,10:00,18:00,,2.5,4.0,250.0,classic_hotspot;family_hotspot,high,high,weekend;holiday;school_holiday
Guangzhou,Pearl River Night Cruise,,Amusement Park/Sports & Entertainment,,23.115119,113.294879,,09:00,22:30,,1.0,2.0,98.0,,,,
Guangzhou,Chimelong Water Park,,Amusement Park/Sports & Entertainment,,23.007665,113.330724,,10:00,21:30,,2.0,3.0,69.0,family_hotspot;classic_hotspot;photo_spot,high,high,summer;weekend;holiday;school_holiday
Guangzhou,Guangdong Science Center,,Amusement Park/Sports & Entertainment,,23.045368,113.369589,,09:30,16:30,,1.0,3.5,60.0,family_hotspot,medium,medium,weekend;holiday;school_holiday
Guangzhou,Chen Clan Ancestral Hall,,Historical Sites,,23.132609,113.251995,,09:00,18:00,,3.0,3.5,0.0,classic_hotspot;culture_hotspot;photo_spot,high,medium,weekend;holiday;school_holiday
Guangzhou,Chimelong Bird Paradise,,Amusement Park/Sports & Entertainment,,23.031355,113.284204,,09:30,18:00,,1.5,2.0,100.0,classic_hotspot;family_hotspot,high,high,weekend;holiday;school_holiday
Guangzhou,Shamian Island,,Historical Sites,,23.112627,113.251119,,00:00,24:00,,0.5,2.0,0.0,classic_hotspot;photo_spot;culture_hotspot,high,low,weekend;holiday;evening
Guangzhou,Guangdong Museum,,Museum/Memorial Hall,,23.120537,113.33296,,00:00,24:00,,2.5,4.0,0.0,culture_hotspot;family_hotspot;classic_hotspot,high,high,weekend;holiday;school_holiday
Guangzhou,Guangzhou Zoo,,Amusement Park/Sports & Entertainment,,23.146478,113.311833,,08:00,18:00,,3.0,4.0,0.0,family_hotspot;classic_hotspot,high,medium,weekend;holiday;school_holiday
Guangzhou,Grandview Mall Commercial Tourism Area,,Commercial District,,23.137807,113.333654,,10:00,22:00,,3.0,3.5,0.0,,,,
Guangzhou,Grandview Polar Ocean World,,Amusement Park/Sports & Entertainment,,23.137758,113.332856,,10:00,22:00,,0.5,2.0,125.0,family_hotspot;shopping_hotspot;nature_hotspot,medium,medium,weekend;holiday;summer;school_holiday
Guangzhou,Museum of the Nanyue Kings (Royal Tomb Exhibition Area),,Museum/Memorial Hall,,23.143943,113.267507,,09:00,17:30,,1.0,2.5,0.0,classic_hotspot;culture_hotspot;family_hotspot,high,medium,weekend;holiday;school_holiday
Guangzhou,Sun Yat-sen Memorial Hall,,Red Tourism Sites,,23.139129,113.271126,,09:00,17:30,,1.0,3.5,8.0,classic_hotspot;culture_hotspot;photo_spot,medium,medium,weekend;holiday;school_holiday
Guangzhou,Dafo Temple,,Historical Sites,,23.128808,113.274392,,06:00,21:00,,2.5,3.0,0.0,,,,
Guangzhou,Baiyun Mountain,,Natural Scenery,,23.190623,113.306556,,00:00,24:00,,1.0,2.0,0.0,classic_hotspot;nature_hotspot;photo_spot;family_hotspot,high,medium,weekend;holiday;summer
