restaurant_name,city,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,rating,tags
Thai Xiang Mi Thai Restaurant (One Avenue Branch),Shenzhen,194.0,Southeast Asian Cuisine,10:00,22:00,Shenzhen Convention and Exhibition Center (Futian Hall),,
Xintai Thai Cuisine (KK Mall Branch),Shenzhen,155.0,Southeast Asian Cuisine,11:00,22:00,Shenzhen Museum - Ancient Art Museum,,Seafood Tom Yum Soup;Charcoal Grilled Pork Neck;Stir-fried Water Spinach with Sambal;Green Curry Beef;Lobster Crackers;Curry Crab
KUDDO COFFEE (G&G Creative Community Branch),Shenzhen,31.0,Coffee Shop,08:30,19:30,Shekou Industrial Zone,4.4,Kuddo Soy Milk Cup;Milk Brick Dirty;Oat Latte;Flat White;Tofu Pudding Latte;Grapefruit Soda
SAANCI Coffee (One Avenue Branch),Shenzhen,49.0,Coffee Shop,08:00,22:00,Shenzhen Ping An Finance Centre Sky Observation Deck,4.6,Catering Services; Cafe; Afternoon Tea; Set for Two; Single Set
Shekou Kang Le Fast Food Fish Stall (Cuiyuan Residential Area Branch),Shenzhen,80.0,Snacks,11:00,22:00,Nuwa Coastal Park,4.5,Salt and Pepper Hairtail; Soy Sauce Squid; Pan-fried Sole; Oyster Omelet; Steamed Yellow Croaker; Stir-fried Clams with Black Bean Sauce; Fried Rice Noodles; Squid; Yellow Croaker; Squid Tube
Hao Hao Wei Noodle House (Taoyuan Branch),Shenzhen,26.0,Snacks,07:00,22:00,Nanshan Library,4.6,Catering Services;Chinese Restaurant;Plain Wonton;Beef Brisket Noodles;Shrinkage Zongzi;Plain Beef Brisket;Oyster Sauce Noodles;Mung Bean Soup;Wonton Noodles;Lard Noodles;Pork Trotter Ginger;Kelp Mung Bean Soup;Chinese Broccoli;Pork Trotter Ginger Vinegar Egg;Beef Brisket Soup Noodles;Oyster Sauce Chinese Broccoli;Food Stall;Beef Brisket;Wonton;Beef
Ice Village Uncle Clay Pot Porridge and Dessert Shop (Meilin Ju Branch),Shenzhen,48.0,Snacks,17:00,02:00,Lianhuashan Park,,Curry Fish Balls; Rock Sugar Tangerine Peel Lotus Seed Mung Bean Soup; Seafood Porridge; Century Egg and Lean Meat Porridge; Lotus Seed Peanut Red Bean Soup; Blanched Chinese Broccoli
Xiacun Xinqiangji Roast Goose Shop,Shenzhen,57.0,Snacks,07:00,21:00,Honghua Mountain Park,4.6,Roast Goose Rice Noodles;White Cut Chicken Rice;Stir-fried Goose Offal with Luffa;Char Siu Rice;Vegetarian Rice Noodles;Goose Head and Neck
Pang Ming Snail Rice Noodles,Shenzhen,39.0,Snacks,11:00,24:00,Futian Mangrove Ecological Park,4.7,Catering Services; Chinese Restaurant; Snail Rice Noodles
Jiajun Eight-Treasure Beef Offal,Shenzhen,29.0,Snacks,11:00,01:00,Nuwa Coastal Park,4.6,Pure Beef Tendon;Radish Beef Offal;Beef Ball and Offal Ho Fun;Pure Brisket;Tofu Skewers;Pure Radish
Youzhang Beef Offal (Shixia Branch),Shenzhen,44.0,Snacks,10:00,24:00,Futian Mangrove Ecological Park,,
Xin Yiwei Chaoshan Rice Roll King (Meilin Branch),Shenzhen,24.0,Snacks,07:00,21:00,Shenzhen Women and Children's Building - Children's Exploration Hall,4.5,Catering Service;Chinese Restaurant;Chaoshan Cuisine;Oyster Rice Roll;Single Meal;Oyster;Rice Roll
Dianbai Duck Porridge Shop,Shenzhen,61.0,Snacks,10:30,23:00,Dashah River Park,4.6,White-Cut Chicken;Poached Duck Intestine;Stir-Fried Chicken with Sand Ginger;Fried Large Intestine Tip;Soy Sauce Braised Pork Intestine;Duck Porridge
Niu Jiazhuang Beef Noodles (Shekou Old Street Branch),Shenzhen,29.0,Snacks,08:00,03:00,China Merchants Group History Museum,,Beef Ball and Brisket Noodles;Beef Ball and Beef Noodles;Chaoshan Taro Cake;Chive Cake;Beef Offal Soup;Beef Offal and Beef Ball Soup
