restaurant_name,city,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,rating,tags
Cool Car Trendy American Restaurant (Beitou Xin'ao Shopping Center Branch),Beijing,86.0,Sports and leisure services; Entertainment venue; Entertainment venue | Dining services; Chinese restaurant; Chinese restaurant,10:00,22:00,Water Cube (National Aquatics Center),4.2,Outdoor seating; Birthday set meal service; Must-Eat List Top 10
Goose Island Taproom (Beichen Hui Branch),Beijing,126.0,Sports and leisure services; Entertainment venue; Bar,11:00,21:00,China National Convention Center,4.5,Private rooms available; Online queueing
COMMUNE·X Illusionist (Sanlitun Taikoo Li South Branch),Beijing,170.0,Sports and leisure services; Entertainment venue; Bar | Dining services; Foreign restaurant; Western restaurant (Mixed flavors),11:00,03:00,Fuguo Underwater World,4.8,Private rooms available; Online queueing; Outdoor seating; Waiting area available
Tongshenghe Community Canteen Elderly Dining Hall,Beijing,100.0,Company and enterprise; Company; Company,11:00,21:00,Beijing Qushui Lanting Spa,4.3,Must-Eat List Top 10; Online queueing; Waiting area available; Birthday set meal service
He Space,Beijing,100.0,Company and enterprise; Company; Company | Dining services; Cafe; Cafe,10:00,18:00,798 Art District,4.2,Must-Eat List Top 10; Waiting area available; Birthday set meal service; Outdoor seating; Online queueing
Beiping Garden (Tiananmen Branch),Beijing,291.0,Business and residential;Residential area;Residential community;Dining services;Foreign restaurant,11:00,23:00,Monument to the People's Heroes,4.5,Must-Eat List Top 10;Birthday set meal service;Private rooms available;Online queueing;Outdoor seating;Waiting area available
Beidahuang Restaurant (Anhui Dongli Branch),Beijing,80.0,Dining services; Chinese restaurant; Northeastern cuisine,16:30,21:30,Beijing International Convention Center,4.5,Birthday set meal service; Private rooms available
Pinweixiang Restaurant,Beijing,19.0,Dining services; Chinese restaurant; Northeastern cuisine,06:30,21:30,Simatai Great Wall,4.2,Birthday set meal service; Outdoor seating
Jinshoushao (Qianmen Branch),Beijing,70.0,Dining services; Chinese restaurant; Northeastern cuisine,10:00,22:00,Yangmeizhuxie Street,4.3,Waiting area available; Online queueing; Private rooms available; Must-Eat List Top 10
Anpingli Restaurant (Liulichang Cultural Street Branch),Beijing,32.0,Dining services; Chinese restaurant; Northeastern cuisine | Business and residential; Business and residential related; Business and residential related,17:00,21:00,Huguang Guild Hall,4.3,Private rooms available; Waiting area available
Yebozhai Imperial Vegetarian,Beijing,147.0,Dining services;Chinese restaurant;Chinese vegetarian restaurant,10:30,21:00,Wudaoying Hutong,4.2,Outdoor seating;Birthday set meal service;Private rooms available;Waiting area available;Must-Eat List Top 10;Online queueing
Yixiu Fang Restaurant · Cantonese Cuisine · Roast Duck (Xizhimen Branch),Beijing,221.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,21:00,Beijing Zoo,4.5,Birthday set meal service; Private rooms available
Beijing Olympic Tower Sky Restaurant,Beijing,485.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:30,China National Convention Center,4.3,Online queueing
Taihe Wanwu Vegetarian Restaurant,Beijing,239.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,21:30,China Customs Museum,4.5,Outdoor seating; Online queueing
Yuexiu Xuan Chinese Restaurant,Beijing,288.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,22:00,Water Cube Water Park,4.1,Outdoor seating; Online queueing; Birthday set meal service; Waiting area available; Must-Eat List Top 10
Jiayuan Hotel,Beijing,477.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,22:00,Beijing Wildlife Park,4.5,Private rooms available; Waiting area available; Must-Eat List Top 10; Birthday set meal service
Jiuruli Restaurant (Huancheng Fang Branch),Beijing,459.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Shidu Juma Paradise,4.2,Outdoor seating; Online queueing
Wenxin Renjia Restaurant,Beijing,56.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,22:00,Guyaju Scenic Area,4.1,Outdoor seating; Online queueing; Must-Eat List Top 10
Renmin Gongshe Tie Fanwan (Lianhuachi Branch),Beijing,62.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:30,21:30,Lianhuachi Park,4.3,Outdoor seating; Birthday set meal service
Miao Jiapo Baozi Shop (Chengxian Street Branch),Beijing,20.0,Catering Services; Chinese Restaurant; Chinese Restaurant,05:00,20:30,Wudaoying Hutong,4.6,Birthday set meal service; Online queueing; Outdoor seating; Must-Eat List Top 10
Jindou Restaurant,Beijing,47.0,Catering Services;Chinese Restaurant,10:00,22:00,Monument to the People's Heroes,4.4,Outdoor seating;Waiting area available;Birthday set meal service;Online queueing;Private rooms available
Yuanwei Northwest Restaurant (Zhonghe Zhongyuan Branch),Beijing,56.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,23:00,Tsinghua University,4.2,Outdoor seating; Online queueing
Lijiang Banquet (Hongshan Jiayuan Zone K Branch),Beijing,75.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,Longtan Park,4.1,Outdoor seating
Swan Lake Restaurant,Beijing,44.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,16:00,Beijing Zoo,4.6,Online queueing; Outdoor seating
Fengrui Hotel Restaurant,Beijing,49.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,Beijing Exhibition Center,4.2,Outdoor seating; Birthday set meal service
Rainforest Restaurant,Beijing,50.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,19:00,Gubei Water Town,3.8,Online queueing; Private rooms available; Must-Eat List Top 10
Mo Jie Restaurant Sichuan-Hunan Cuisine,Beijing,36.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,23:00,Future Water World,3.8,Private rooms available; Online queueing; Must-Eat List Top 10
Ganluyuan Convenience Restaurant (Ganluyuan Nanli Zone 2 Branch),Beijing,14.0,Catering Services; Chinese Restaurant; Chinese Restaurant,06:00,24:00,Beijing Qushui Lanting Spa,4.3,Private rooms available; Waiting area available; Birthday set meal service; Online queueing
Xiao Fanguan Da Chushi,Beijing,61.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,24:00,Beijing Qushui Lanting Spa,4.8,Waiting area available; Online queueing
Dongfa Dao Tea & Ice Hall (Xidan Joy City Branch),Beijing,77.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:30,Xidan Commercial Street,4.5,Birthday set meal service; Online queueing; Waiting area available; Must-Eat List Top 10
Nancheng Xiang (Meishikou Branch),Beijing,24.0,Catering Services; Chinese Restaurant; Chinese Restaurant,06:00,21:30,HI-Fun Competitive Theme Park,4.3,Must-Eat List Top 10; Private rooms available; Birthday set meal service; Outdoor seating
