origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index,sample_id
Beijing,Hohhot,2025-11-18,PEK,Beijing Capital International Airport,XIL,Xilinhot Airport,2025-11-18 11:00:00,2025-11-18 12:25:00,85,CA1109,Air China,Economy,Sufficient,C909,Small Aircraft,COMAC,859,1,276,"102,116"
Beijing,Hohhot,2025-11-18,PEK,Beijing Capital International Airport,DLC,Dalian Zhoushuizi Airport,2025-11-18 11:40:00,2025-11-18 13:00:00,80,CA8904,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,617,1,273,"102,116"
Beijing,Hohhot,2025-11-18,XIL,Xilinhot Airport,HET,Shenyang Taoxian International Airport,2025-11-18 15:15:00,2025-11-18 16:20:00,65,GS7403,Hainan Airlines | Tianjin Airlines,Economy,Sufficient,190,Medium Aircraft,Embraer,859,2,276,"102,116"
Beijing,Hohhot,2025-11-18,PEK,Beijing Capital International Airport,DLC,Dalian Zhoushuizi Airport,2025-11-18 15:30:00,2025-11-18 16:40:00,70,CA8910,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,617,1,272,"102,116"
Beijing,Hohhot,2025-11-18,PKX,Beijing Daxing International Airport,DLC,Dalian Zhoushuizi Airport,2025-11-18 16:10:00,2025-11-18 17:30:00,80,CZ6122,China Southern Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,520,1,269,"102,116"
Beijing,Hohhot,2025-11-18,PKX,Beijing Daxing International Airport,CGQ,Longjia International Airport,2025-11-18 17:00:00,2025-11-18 19:10:00,130,CZ6194,China Southern Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,720,1,274,"102,116"
Beijing,Hohhot,2025-11-18,DLC,Dalian Zhoushuizi Airport,HET,Shenyang Taoxian International Airport,2025-11-18 19:10:00,2025-11-18 21:20:00,130,9C6731,Spring Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,520,2,269,"102,116"
Beijing,Hohhot,2025-11-18,DLC,Dalian Zhoushuizi Airport,HET,Shenyang Taoxian International Airport,2025-11-18 19:10:00,2025-11-18 21:20:00,130,9C6731,Spring Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,617,2,272,"102,116"
Beijing,Hohhot,2025-11-18,DLC,Dalian Zhoushuizi Airport,HET,Shenyang Taoxian International Airport,2025-11-18 19:10:00,2025-11-18 21:20:00,130,9C6731,Spring Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,617,2,273,"102,116"
Beijing,Hohhot,2025-11-18,CGQ,Longjia International Airport,HET,Shenyang Taoxian International Airport,2025-11-18 21:25:00,2025-11-18 23:40:00,135,CA8138,Air China,Economy,Sufficient,C909,Small Aircraft,COMAC,720,2,274,"102,116"
Beijing,Hohhot,2026-05-01,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-01 21:15:00,2026-05-01 22:35:00,80,CA1111,Air China,Economy,Sufficient,C909,Small Aircraft,COMAC,570,1,277,
Beijing,Hohhot,2026-05-01,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-01 21:15:00,2026-05-01 22:35:00,80,ZH1111,Shenzhen Airlines,Economy,Sufficient,C909,Small Aircraft,COMAC,570,1,278,
Beijing,Hohhot,2026-05-02,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-02 20:55:00,2026-05-02 22:20:00,85,CA1111,Air China,Economy,Sufficient,C909,Small Aircraft,COMAC,1030,1,278,
Beijing,Hohhot,2026-05-02,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-02 20:55:00,2026-05-02 22:20:00,85,ZH1111,Shenzhen Airlines,Economy,Sufficient,C909,Small Aircraft,COMAC,1030,1,277,
Beijing,Hohhot,2026-05-03,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-03 21:00:00,2026-05-03 22:20:00,80,CA1111,Air China,Economy,Sufficient,C909,Small Aircraft,COMAC,570,1,277,
Beijing,Hohhot,2026-05-03,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-03 21:00:00,2026-05-03 22:20:00,80,ZH1111,Shenzhen Airlines,Economy,Sufficient,C909,Small Aircraft,COMAC,570,1,278,
Beijing,Hohhot,2026-05-04,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-04 20:55:00,2026-05-04 22:20:00,85,CA1111,Air China,Economy,Sufficient,C909,Small Aircraft,COMAC,520,1,277,
Beijing,Hohhot,2026-05-04,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-04 20:55:00,2026-05-04 22:20:00,85,ZH1111,Shenzhen Airlines,Economy,Sufficient,C909,Small Aircraft,COMAC,520,1,278,
Beijing,Hohhot,2026-05-05,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-05 20:55:00,2026-05-05 22:20:00,85,CA1111,Air China,Economy,Sufficient,C909,Small Aircraft,COMAC,570,1,277,
Beijing,Hohhot,2026-05-05,PEK,Beijing Capital International Airport,HET,Shenyang Taoxian International Airport,2026-05-05 20:55:00,2026-05-05 22:20:00,85,ZH1111,Shenzhen Airlines,Economy,Sufficient,C909,Small Aircraft,COMAC,570,1,278,
